symbol,t,o,h,l,c,v,vw,n
BTC/USD,2024-08-01T00:00:00Z,64588.35,64813.4175,64357.745,64640.445,1.140908187,64526.581753,11
BTC/USD,2024-08-01T01:00:00Z,64606.725,64788.485,64094.84,64193.87,0.032612281,64575.553126,4
BTC/USD,2024-08-01T02:00:00Z,64146.834,64226.95,63860.49,64091.934,0.090787622,64048.468919,9
BTC/USD,2024-08-01T03:00:00Z,64058.81,64096.895,63750,63919.9875,0.012476028,63996.530554,6
BTC/USD,2024-08-01T04:00:00Z,63888.65,64016.395,63638.9643920595,63675.127,0.037102722,63850.300155,6
BTC/USD,2024-08-01T05:00:00Z,63683.7,64322.31,63552.8525,64247.433,0.237002366,64204.856099,8
BTC/USD,2024-08-01T06:00:00Z,64220.045,64406.557,64077.674,64214.722,0.523533989,64082.471362,3
BTC/USD,2024-08-01T07:00:00Z,64234.475,64440.394,64207.6575,64302.2495,0.075768034,64353.883272,3
BTC/USD,2024-08-01T08:00:00Z,64341.655,64514.41,64307.52,64477.505,0.010889574,64484.856553,5
BTC/USD,2024-08-01T09:00:00Z,64467.774,64638.6,64427.35,64448.786,2.778461477,64476.238937,8
BTC/USD,2024-08-01T10:00:00Z,64431.0295,64561.292,64289.705,64555.645,0.015382785,64404.736064,4
BTC/USD,2024-08-01T11:00:00Z,64530.25,64658.575,64427.7,64639.4955,1.7738e-05,64427.7,1
BTC/USD,2024-08-01T12:00:00Z,64608.874,64880.813,64608.874,64850.151,0.007167162,64848.569204,3
BTC/USD,2024-08-01T13:00:00Z,64864.3055,64932.47,64455.262,64739.335,0.206658448,64750.915359,4
BTC/USD,2024-08-01T14:00:00Z,64686.7775,64726.4065,63933.2985,63933.2985,0.120960282,64444.103306,11
BTC/USD,2024-08-01T15:00:00Z,63901.415,63920.015,62664.43,62859.595,0.222437119,63159.464767,20
BTC/USD,2024-08-01T16:00:00Z,62842.05,63134.985,62616.5905,62873.078,0.089450972,62899.731652,15
BTC/USD,2024-08-01T17:00:00Z,62843.5505,63224.46,62257.358,63172.8285,1.08363989,62976.715152,16
BTC/USD,2024-08-01T18:00:00Z,63152.754,63358.6185,62748.01,62866.43,0.038965372,63177.353912,5
BTC/USD,2024-08-01T19:00:00Z,62902.59,63405.1945,62902.59,63358.75,0.07030759,63296.070732,6
BTC/USD,2024-08-01T20:00:00Z,63324.13,64706.05,63305.105,64706.05,0.539604214,63453.26824,10
BTC/USD,2024-08-01T21:00:00Z,64720.74,65298.949,64607.85,64832,0.001554354,65025.23983,2
BTC/USD,2024-08-01T22:00:00Z,64875.6865,65540.99,64828.295,65151.3275,0.499932469,65499.812019,6
BTC/USD,2024-08-01T23:00:00Z,65179.1,65397.1735,64949.9,65312.7225,0.215105697,65022.272408,5
BTC/USD,2024-08-02T00:00:00Z,65339.325,65539.05,64864.72,64864.72,0.005916202,65325.084477,2
BTC/USD,2024-08-02T01:00:00Z,64840.37,64840.37,64523.288,64622.2225,0.08331392,64675.991727,10
BTC/USD,2024-08-02T02:00:00Z,64652.914,64750.04,63617.13,64299.346,0.001508801,63772.472314,2
BTC/USD,2024-08-02T03:00:00Z,64273.042,64564.6475,64204.45,64562.4,0.006934499,64360.682,1
BTC/USD,2024-08-02T04:00:00Z,64591,64591,64393.18,64460.072,0.025243903,64446.552307,4
BTC/USD,2024-08-02T05:00:00Z,64443.556,64443.556,64041.35,64103.1925,0.006969768,64210.758634,3
BTC/USD,2024-08-02T06:00:00Z,64075.15,64555.6165,63797.96,64427.991,0.003102847,64128.917486,5
BTC/USD,2024-08-02T07:00:00Z,64409.8235,64449.9485,64078.04,64115.365,0.062093331,64365.176869,3
BTC/USD,2024-08-02T08:00:00Z,64164.7065,64532.55,64012.371,64532.55,0.000377547,64431.61,1
BTC/USD,2024-08-02T09:00:00Z,64501.834,64573.613,64387.2,64469.269,0.050772006,64460.620721,5
BTC/USD,2024-08-02T10:00:00Z,64491.018,64843.75,64338.393,64677.232,0.01207038,64573.885409,2
BTC/USD,2024-08-02T11:00:00Z,64730.007,64895.241,64608.2105,64608.2105,0.240793343,64778.614142,2
BTC/USD,2024-08-02T12:00:00Z,64645.5385,64849.866,64179.6295,64777.7015,0.001431986,64617.021,1
BTC/USD,2024-08-02T13:00:00Z,64746.565,65468.397,64503.01,65169.2235,0.160687533,64843.087017,8
BTC/USD,2024-08-02T14:00:00Z,65205.8055,65309.208,63074.5,63116.907,0.274152621,63788.753081,11
BTC/USD,2024-08-02T15:00:00Z,63143.627,63550.2685,62415.725,63366.215,0.441525792,62916.279156,20
BTC/USD,2024-08-02T16:00:00Z,63383.3,63513.355,62960.85,63274.135,0.033777921,63315.090946,5
BTC/USD,2024-08-02T17:00:00Z,63240.8,63401.05,63026.11,63030.8475,0.018351775,63148.637752,3
BTC/USD,2024-08-02T18:00:00Z,63001.5695,63144.8285,62776.9,62843.46,0.010983843,63069.059288,5
BTC/USD,2024-08-02T19:00:00Z,62810.277,62900.85,62466,62568.6725,0.037886866,62834.257969,7
BTC/USD,2024-08-02T20:00:00Z,62616.7065,63097.215,62061.138,62532.5735,0.117673733,62264.013701,5
BTC/USD,2024-08-02T21:00:00Z,62510.704,62664.1,61267.765,61938.676,0.035201476,62029.525544,10
BTC/USD,2024-08-02T22:00:00Z,61969.9,62192.983,61155.422,61313.15,0.009148591,62057.59191,3
BTC/USD,2024-08-02T23:00:00Z,61337.4,61695.3895,61262.621,61409.935,0,0,0
BTC/USD,2024-08-03T00:00:00Z,61421.394,61612.37,60833.2095,61095.671,1.15693958,61088.193761,5
BTC/USD,2024-08-03T01:00:00Z,61069.203,61299.015,60427.469,61269.91,0.017840382,60688.560361,6
BTC/USD,2024-08-03T02:00:00Z,61238.7735,61498.04,61161.52,61378.945,0.013602714,61350.037034,3
BTC/USD,2024-08-03T03:00:00Z,61334.6115,61907.841,61230.35,61813.12,0.081624148,61727.948997,6
BTC/USD,2024-08-03T04:00:00Z,61848.04,61921.89,61331.93,61498.19,0.014757468,61727.658294,3
BTC/USD,2024-08-03T05:00:00Z,61503.845,61677.421,61466.05,61645.59,0.091295493,61553.038214,5
BTC/USD,2024-08-03T06:00:00Z,61609.835,61775.968,61609.835,61775.968,0.0253,61750.611067,2
BTC/USD,2024-08-03T07:00:00Z,61774.8305,61848.617,61589.725,61616.1,0.206310507,61746.544732,8
BTC/USD,2024-08-03T08:00:00Z,61586.35,61674.5975,61430.4175,61575.255,0.001216888,61530.596156,2
BTC/USD,2024-08-03T09:00:00Z,61544.125,61684.189,61424.225,61673.827,0.01785384,61576.870429,5
BTC/USD,2024-08-03T10:00:00Z,61697.054,61820.032,61618.736,61802.685,4.5176e-05,61662.854883,2
BTC/USD,2024-08-03T11:00:00Z,61762.55,61974.334,61749.255,61888.77,0.018899186,61895.241512,5
BTC/USD,2024-08-03T12:00:00Z,61851.21,62136.7905,61813.108,61967.95,0.000237523,61956.860795,5
BTC/USD,2024-08-03T13:00:00Z,61989.8,61998.4,61820.27,61972.6575,0.053761062,61825.498826,3
BTC/USD,2024-08-03T14:00:00Z,61990.9225,62125.3645,61881.098,61956.85,0.008270049,61994.83014,4
