c,h,l,n,o,t,v,vw,symbol,es_id
100731.5435,100937.45,100640.431,6,100803.325,2025-01-07T12:00:00Z,0.056449907,100798.943307,BTC/USD,BTC/USD_2025-01-07T12:00:00Z
100644.9,100978.11,100622.8,4,100783.1925,2025-01-07T13:00:00Z,0.008310593,100851.283869,BTC/USD,BTC/USD_2025-01-07T13:00:00Z
100009.485,100895.363,99751.861042183,22,100713.68,2025-01-07T14:00:00Z,0.648323022,100239.614313,BTC/USD,BTC/USD_2025-01-07T14:00:00Z
97890.0935,100099.7,97098.0745,42,99953.15,2025-01-07T15:00:00Z,0.740680446,97895.337125,BTC/USD,BTC/USD_2025-01-07T15:00:00Z
97714.0025,98350.305,97515.6175,17,97829.9825,2025-01-07T16:00:00Z,0.137299865,98010.749464,BTC/USD,BTC/USD_2025-01-07T16:00:00Z
97277.7415,97754.1175,96558.495,30,97737.6475,2025-01-07T17:00:00Z,0.38498752,97167.2518,BTC/USD,BTC/USD_2025-01-07T17:00:00Z
96686.122,97451.77,96590.486,16,97242.0,2025-01-07T18:00:00Z,0.280281124,97095.906885,BTC/USD,BTC/USD_2025-01-07T18:00:00Z
96399.285,97134.56,96324.555,14,96751.345,2025-01-07T19:00:00Z,0.032886684,96716.282201,BTC/USD,BTC/USD_2025-01-07T19:00:00Z
96517.138,96780.444,96113.238,123,96347.8345,2025-01-07T20:00:00Z,0.266202373,96434.594274,BTC/USD,BTC/USD_2025-01-07T20:00:00Z
96521.973,97039.325,96382.278,15,96465.3,2025-01-07T21:00:00Z,0.076985514,96697.49428,BTC/USD,BTC/USD_2025-01-07T21:00:00Z
97122.4925,97233.3,96413.27,8,96473.1605,2025-01-07T22:00:00Z,0.026593529,97110.541762,BTC/USD,BTC/USD_2025-01-07T22:00:00Z
96945.375,97167.112,96810.58,0,97064.0645,2025-01-07T23:00:00Z,0.0,96989.09975,BTC/USD,BTC/USD_2025-01-07T23:00:00Z
97232.509,97232.509,96717.455,28,96876.75,2025-01-08T00:00:00Z,0.037597868,97007.969462,BTC/USD,BTC/USD_2025-01-08T00:00:00Z
96852.175,97188.65,96614.395,4,97188.65,2025-01-08T01:00:00Z,0.006250641,96932.924344,BTC/USD,BTC/USD_2025-01-08T01:00:00Z
96885.38,97162.2,96771.82,3,96838.2585,2025-01-08T02:00:00Z,0.01001913,97085.055906,BTC/USD,BTC/USD_2025-01-08T02:00:00Z
96531.655,96820.0,96233.595,3,96804.619,2025-01-08T03:00:00Z,0.005457049,96518.956076,BTC/USD,BTC/USD_2025-01-08T03:00:00Z
96291.7865,96579.467,96137.076,0,96461.514,2025-01-08T04:00:00Z,0.0,96461.514,BTC/USD,BTC/USD_2025-01-08T04:00:00Z
96480.02,96656.78,96141.925,2,96354.45,2025-01-08T05:00:00Z,0.003105418,96410.305974,BTC/USD,BTC/USD_2025-01-08T05:00:00Z
95302.613900744,96669.5,95302.613900744,15,96547.409,2025-01-08T06:00:00Z,0.01772111,95975.051678,BTC/USD,BTC/USD_2025-01-08T06:00:00Z
95639.789,95774.05,95269.23,15,95344.479900744,2025-01-08T07:00:00Z,0.068947274,95486.731519,BTC/USD,BTC/USD_2025-01-08T07:00:00Z
95925.9155,96070.6,95521.123,5,95605.1845,2025-01-08T08:00:00Z,0.083446245,95650.23884,BTC/USD,BTC/USD_2025-01-08T08:00:00Z
95449.65,96046.842,95449.65,3,95965.0895,2025-01-08T09:00:00Z,0.042821078,95831.755919,BTC/USD,BTC/USD_2025-01-08T09:00:00Z
95973.824,96006.471,95444.128,7,95523.585,2025-01-08T10:00:00Z,0.017619145,95782.385922,BTC/USD,BTC/USD_2025-01-08T10:00:00Z
95124.9545,95991.68,94544.6805,14,95916.3,2025-01-08T11:00:00Z,0.207321799,95002.484978,BTC/USD,BTC/USD_2025-01-08T11:00:00Z
94851.447,95333.2,94801.81,11,95063.7445,2025-01-08T12:00:00Z,0.236317531,94963.194511,BTC/USD,BTC/USD_2025-01-08T12:00:00Z
95385.135,95628.146,94887.0105,7,94887.0105,2025-01-08T13:00:00Z,0.011897502,95398.957451,BTC/USD,BTC/USD_2025-01-08T13:00:00Z
95307.493,95827.71,94907.995,6,95460.425,2025-01-08T14:00:00Z,0.020024432,95213.463491,BTC/USD,BTC/USD_2025-01-08T14:00:00Z
95455.041,96059.599,94622.315136476,13,95281.4,2025-01-08T15:00:00Z,0.090821958,94802.761935,BTC/USD,BTC/USD_2025-01-08T15:00:00Z
94777.0395,95395.513,94607.885136476,11,95395.513,2025-01-08T16:00:00Z,1.071274264,95093.04364,BTC/USD,BTC/USD_2025-01-08T16:00:00Z
94017.238,94843.8,92551.15,49,94833.609,2025-01-08T17:00:00Z,0.80926783,93224.727461,BTC/USD,BTC/USD_2025-01-08T17:00:00Z
94258.882,95064.172,93770.8,14,94074.785,2025-01-08T18:00:00Z,0.03525725,94328.034324,BTC/USD,BTC/USD_2025-01-08T18:00:00Z
94216.4,94827.964,94058.956,8,94328.331,2025-01-08T19:00:00Z,0.007084298,94417.535462,BTC/USD,BTC/USD_2025-01-08T19:00:00Z
93976.6035,94384.32,93760.045,76,94248.79,2025-01-08T20:00:00Z,0.075979247,94206.604002,BTC/USD,BTC/USD_2025-01-08T20:00:00Z
